D/7,1  2  6  9
Db/7,0  1  5  8
D#/7,2   3   7  10
E/7,3   4   8  11
Eb/7,2   3   7  10
E#/7,4  5  9  0
F/7,4  5  9  0
Fb/7,3   4   8  11
F#/7,5   6  10   1
G/7,6   7  11   2
Gb/7,5   6  10   1
G#/7,7  8  0  3
A/7,8  9  1  4
Ab/7,7  8  0  3
A#/7,9  10   2   5
B/7,10  11   3   6
Bb/7,9  10   2   5
B#/7,11   0   4   7
C:maj,0  4  7
Cb:maj,11   3   6
C#:maj,1  5  8
D:maj,2  6  9
Db:maj,1  5  8
D#:maj,3   7  10
E:maj,4   8  11
Eb:maj,3   7  10
E#:maj,5  9  0
F:maj,5  9  0
Fb:maj,4   8  11
F#:maj,6  10   1
G:maj,7  11   2
Gb:maj,6  10   1
G#:maj,8  0  3
A:maj,9  1  4
Ab:maj,8  0  3
A#:maj,10   2   5
B:maj,11   3   6
Bb:maj,10   2   5
B#:maj,0  4  7
C:maj/2,2  0  4  7
Cb:maj/2,1  11   3   6
C#:maj/2,3  1  5  8
D:maj/2,4  2  6  9
Db:maj/2,3  1  5  8
D#:maj/2,5   3   7  10
E:maj/2,6   4   8  11
Eb:maj/2,5   3   7  10
E#:maj/2,7  5  9  0
F:maj/2,7  5  9  0
Fb:maj/2,6   4   8  11
F#:maj/2,8   6  10   1
G:maj/2,9   7  11   2
Gb:maj/2,8   6  10   1
G#:maj/2,10   8   0   3
A:maj/2,11   9   1   4
Ab:maj/2,10   8   0   3
A#:maj/2,0  10   2   5
B:maj/2,1  11   3   6
Bb:maj/2,0  10   2   5
B#:maj/2,2  0  4  7
C:maj/3,4  0  4  7
Cb:maj/3,3  11   3   6
C#:maj/3,5  1  5  8
D:maj/3,6  2  6  9
Db:maj/3,5  1  5  8
D#:maj/3,7   3   7  10
E:maj/3,8   4   8  11
Eb:maj/3,7   3   7  10
E#:maj/3,9  5  9  0
F:maj/3,9  5  9  0
Fb:maj/3,8   4   8  11
F#:maj/3,10   6  10   1
G:maj/3,11   7  11   2
Gb:maj/3,10   6  10   1
G#:maj/3,0  8  0  3
A:maj/3,1  9  1  4
Ab:maj/3,0  8  0  3
A#:maj/3,2  10   2   5
B:maj/3,3  11   3   6
Bb:maj/3,2  10   2   5
B#:maj/3,4  0  4  7
C:maj/4,5  0  4  7
Cb:maj/4,4  11   3   6
C#:maj/4,6  1  5  8
D:maj/4,7  2  6  9
Db:maj/4,6  1  5  8
D#:maj/4,8   3   7  10
E:maj/4,9   4   8  11
Eb:maj/4,8   3   7  10
E#:maj/4,10   5   9   0
F:maj/4,10   5   9   0
Fb:maj/4,9   4   8  11
F#:maj/4,11   6  10   1
G:maj/4,0   7  11   2
Gb:maj/4,11   6  10   1
G#:maj/4,1  8  0  3
A:maj/4,2  9  1  4
Ab:maj/4,1  8  0  3
A#:maj/4,3  10   2   5
B:maj/4,4  11   3   6
Bb:maj/4,3  10   2   5
B#:maj/4,5  0  4  7
C:maj/5,7  0  4  7
Cb:maj/5,6  11   3   6
C#:maj/5,8  1  5  8
D:maj/5,9  2  6  9
Db:maj/5,8  1  5  8
D#:maj/5,10   3   7  10
E:maj/5,11   4   8  11
Eb:maj/5,10   3   7  10
E#:maj/5,0  5  9  0
F:maj/5,0  5  9  0
Fb:maj/5,11   4   8  11
F#:maj/5,1   6  10   1
G:maj/5,2   7  11   2
